Order Date,Segment,Market,Sales,Profit
2014-11-11,Consumer,USCA,221.98,62.15440000000001
2014-02-05,Corporate,Asia Pacific,3709.3949999999995,-288.765
2014-10-17,Consumer,Asia Pacific,5175.171000000001,919.9709999999997
2014-01-28,Home Office,Europe,2892.5099999999998,-96.54000000000005
2014-11-05,Consumer,Africa,2832.96,311.52
2014-06-28,Corporate,Asia Pacific,2862.675,763.2750000000001
2012-11-06,Consumer,Asia Pacific,1822.0799999999997,564.84
2013-04-14,Consumer,Asia Pacific,5244.84,996.4799999999999
2014-11-11,Consumer,USCA,341.96,54.713599999999985
2012-03-06,Consumer,USCA,48.712,5.480099999999997
2012-03-06,Consumer,USCA,17.94,4.6644000000000005
2013-04-19,Corporate,Asia Pacific,4626.15,647.55
2012-12-26,Consumer,Asia Pacific,2616.96,1151.4
2013-11-13,Home Office,LATAM,2221.8,622.02
2014-06-06,Consumer,Asia Pacific,3701.5199999999995,1036.08
2015-07-31,Corporate,Europe,1869.5879999999997,186.94800000000004
2012-02-19,Consumer,USCA,12.624,-2.524800000000002
2015-09-08,Corporate,Europe,7958.58,3979.0799999999995
2015-01-31,Corporate,Asia Pacific,2565.594,28.40399999999994
2015-12-05,Consumer,Africa,3409.74,818.28
2013-08-08,Corporate,Europe,1977.7199999999998,276.84000000000003
2012-03-06,Consumer,USCA,242.94,4.858800000000016
2012-05-01,Corporate,Asia Pacific,2753.999999999999,358.02
2014-02-27,Home Office,Europe,5273.7,1898.4
2015-07-31,Consumer,LATAM,1713.8400000000001,445.52
2015-09-05,Consumer,LATAM,2106.496,526.4960000000001
2012-12-16,Corporate,Asia Pacific,1715.1599999999999,720.36
2012-03-13,Consumer,Europe,3069.7380000000003,1364.2379999999996
2012-04-21,Corporate,USCA,247.84,121.4416
2013-02-24,Consumer,Asia Pacific,1878.7199999999998,582.36
2012-12-27,Corporate,LATAM,1696.64,-148.46000000000004
2013-07-17,Corporate,Europe,2402.8650000000002,763.155
2013-12-27,Corporate,USCA,668.16,75.16799999999992
2012-11-02,Corporate,Asia Pacific,2526.93,561.48
2013-12-27,Corporate,USCA,323.1,61.38900000000001
2012-09-13,Corporate,Africa,3817.26,1068.6599999999999
2012-05-12,Corporate,USCA,279.456,20.959199999999996
2012-12-30,Corporate,USCA,34.769999999999996,11.474099999999996
2015-01-14,Consumer,Europe,4141.02,1697.67
2012-01-10,Consumer,Asia Pacific,2875.0950000000007,511.0949999999999
2014-08-22,Consumer,Asia Pacific,3200.5962,-77.20379999999989
2015-11-11,Home Office,Asia Pacific,4518.78,632.52
2015-09-26,Corporate,Asia Pacific,5667.87,2097.03
2013-12-13,Consumer,Europe,5785.0199999999995,404.73
2012-09-22,Consumer,Europe,3018.624,377.2439999999999
2014-03-21,Corporate,USCA,86.45,38.038000000000004
2014-03-08,Corporate,Europe,2092.4999999999995,720.7499999999999
2015-08-28,Consumer,Asia Pacific,2761.2,110.34
2015-05-01,Consumer,Asia Pacific,2174.13,500.00999999999993
2015-12-18,Consumer,LATAM,3473.1399999999994,868.1200000000001
2012-10-24,Corporate,USCA,49.408,18.528
2015-09-18,Consumer,Asia Pacific,2108.64,527.04
2012-12-30,Corporate,USCA,18.9,8.693999999999999
2012-12-16,Corporate,Asia Pacific,2197.5,153.75
2014-12-18,Corporate,Africa,2582.16,593.88
2013-05-30,Consumer,Asia Pacific,1526.52,732.72
2012-04-21,Corporate,USCA,9.912,3.3452999999999995
2013-05-25,Corporate,Asia Pacific,1745.34,226.86
2015-08-05,Consumer,Asia Pacific,4191.507,1164.2669999999998
